country,year,sci_literacy,sci_trust,tech_acceptance,relative_salary,rd_budget_per_researcher,innovation_score,rd_gdp_pct,researchers_per_m,patent_apps,journal_articles,gdp_per_capita,gov_edu_exp_pct,internet_users_pct,hi_tech_export_pct,tertiary_enroll,mobile_subs_per100,secure_servers_per_m,youth_unemp_pct,tertiary_attainment,population,articles_per_m_log,patents_per_m_log,pisa_math,pisa_reading,country_name,sci_literacy_lag3,sci_literacy_lag5,sci_literacy_lag7,sci_trust_lag3,sci_trust_lag5,sci_trust_lag7,tech_acceptance_lag3,tech_acceptance_lag5,tech_acceptance_lag7,pisa_math_lag3,pisa_math_lag5,pisa_math_lag7,pisa_reading_lag3,pisa_reading_lag5,pisa_reading_lag7,tertiary_enroll_lag3,tertiary_enroll_lag5,tertiary_enroll_lag7,tertiary_attainment_lag3,tertiary_attainment_lag5,tertiary_attainment_lag7,hi_tech_export_pct_lag3,hi_tech_export_pct_lag5,hi_tech_export_pct_lag7,rd_budget_per_researcher_lag3,rd_budget_per_researcher_lag5,rd_budget_per_researcher_lag7,relative_salary_lag3,relative_salary_lag5,relative_salary_lag7,youth_unemp_pct_lag3,youth_unemp_pct_lag5,youth_unemp_pct_lag7,idx_sci_culture,idx_hard_rd,idx_structure,idx_economic
IDN,2017,398.3333333333333,0.7670336738492802,0.7928409989300275,1.3964598479114907,42241.79234467537,30.1,0.23805,214.08281,2271.0,13002.06,3798.88326174526,1.05324382490056,32.335806250688,8.44632702628773,35.967012362631,162.782511760443,1267.73606423762,14.553,8.23369979858398,267346658.0,3.904670252440613,2.2507220651745485,381.3333333333333,379.6666666666667,IDN,396.0,382.0,,0.7670336738492802,0.7670336738492802,,0.7928409989300275,0.7928409989300275,,382.3333333333333,375.0,,396.6666666666667,396.0,,29.9904910473273,29.0425391195214,,7.96649980545044,5.77638038733417,,9.32850761968047,10.871757163658,,48611.28760335939,48611.28760335939,,1.3964598479114907,1.3964598479114907,,15.977,15.673,,0.3513017920634954,0.0168240148617094,0.1462750599075756,0.1377837120900693
IDN,2018,396.0,0.7670336738492802,0.7928409989300275,1.337503669827019,40606.94975684844,29.8,0.22632,215.18755,1407.0,21795.18,3860.95353090726,0.994436460846179,39.9046386385762,8.21299200751234,36.1494878042588,118.330216938024,1272.12317710915,16.369,9.37423038482666,269951846.0,4.403510302087061,1.8264894520957389,379.0,371.0,IDN,403.0,389.0,,0.7670336738492802,0.7670336738492802,,0.7928409989300275,0.7928409989300275,,386.0,378.6666666666667,,397.0,396.3333333333333,,32.4590200433758,29.894529174265,,8.48301029205322,6.18710368188552,,8.88987824359938,9.67606262852233,,48611.28760335939,48611.28760335939,,1.3964598479114907,1.3964598479114907,,17.224,15.977,,0.3457865425813072,0.0197082269923388,0.1203794613057932,0.1370339934156318
IDN,2019,392.75,0.7670336738492802,0.7928409989300275,1.2785474917425472,28777.33972944784,29.72,0.27129,387.17063,3093.0,31005.34,4106.94856160358,0.964399077622927,47.6906489788375,8.09206094724751,37.3230862728703,125.244348145809,1672.32938886525,13.577,8.78998911544875,272489381.0,4.743065154524236,2.5137290196573145,375.75,368.0,IDN,400.6666666666667,396.0,382.0,0.7670336738492802,0.7670336738492802,0.7670336738492802,0.7928409989300275,0.7928409989300275,0.7928409989300275,383.6666666666667,382.3333333333333,375.0,388.3333333333333,396.6666666666667,396.0,34.8307173410877,29.9904910473273,29.0425391195214,8.79403018951416,7.96649980545044,5.77638038733417,7.99860974921307,9.32850761968047,10.871757163658,48611.28760335939,48611.28760335939,48611.28760335939,1.3964598479114907,1.3964598479114907,1.3964598479114907,15.997,15.977,15.673,0.3374786579581012,0.0302084721003632,0.1498105796867364,0.1107804150272803
IDN,2020,389.5,0.7670336738492802,0.7928409989300275,1.300417508199613,27360.062984790093,26.49,0.28068,395.34168,1309.0,32895.71,3853.70288774146,1.01593221347809,53.72649449,8.4247469855579,38.1650601406923,129.40362112725,1868.76353333811,14.773,10.5170803070068,274814866.0,4.793319298920683,1.7514940316079597,372.5,365.0,IDN,398.3333333333333,403.0,389.0,0.7670336738492802,0.7670336738492802,0.7670336738492802,0.7928409989300275,0.7928409989300275,0.7928409989300275,381.3333333333333,386.0,378.6666666666667,379.6666666666667,397.0,396.3333333333333,35.967012362631,32.4590200433758,29.894529174265,8.23369979858398,8.48301029205322,6.18710368188552,8.44632702628773,8.88987824359938,9.67606262852233,42241.79234467537,48611.28760335939,48611.28760335939,1.3964598479114907,1.3964598479114907,1.3964598479114907,14.553,17.224,15.977,0.337955590773087,0.0298884917385322,0.1736981734851001,0.1194868123262528
IDN,2021,386.25,0.7670336738492802,0.7928409989300275,1.3257683851839754,27360.062984790093,27.1,0.28068,395.34168,1397.0,39566.05,4287.17313995098,1.03221750658374,62.10447842,7.20127970144306,40.6293239880732,132.199444256099,2189.14677796205,13.8,9.99885068603274,276758053.0,4.969553522843026,1.799683038715851,369.25,362.0,IDN,396.0,400.6666666666667,396.0,0.7670336738492802,0.7670336738492802,0.7670336738492802,0.7928409989300275,0.7928409989300275,0.7928409989300275,379.0,383.6666666666667,382.3333333333333,371.0,388.3333333333333,396.6666666666667,36.1494878042588,34.8307173410877,29.9904910473273,9.37423038482666,8.79403018951416,7.96649980545044,8.21299200751234,7.99860974921307,9.32850761968047,40606.94975684844,48611.28760335939,48611.28760335939,1.337503669827019,1.3964598479114907,1.3964598479114907,16.369,15.997,15.977,0.331159764145875,0.0334318492427438,0.202013724279938,0.1139003737824224
IDN,2022,383.0,0.7670336738492802,0.7928409989300275,1.2824607700987838,27360.062984790093,27.9,0.28068,395.34168,1397.0,31947.1,4730.83484836107,0.863943349575907,66.48461277,8.30819306709832,42.3260385456152,122.873012230307,2496.40884911853,14.054,9.48062106505868,278830529.0,4.749922529061137,,366.0,359.0,IDN,392.75,398.3333333333333,403.0,0.7670336738492802,0.7670336738492802,0.7670336738492802,0.7928409989300275,0.7928409989300275,0.7928409989300275,375.75,381.3333333333333,386.0,368.0,379.6666666666667,397.0,37.3230862728703,35.967012362631,32.4590200433758,8.78998911544875,8.23369979858398,8.48301029205322,8.09206094724751,8.44632702628773,8.88987824359938,28777.33972944784,42241.79234467537,48611.28760335939,1.2785474917425472,1.3964598479114907,1.3964598479114907,13.577,14.553,17.224,0.3236193963141098,0.0308785239761862,0.2000030188206171,0.1135349407171209
IDN,2023,383.0,0.7670336738492802,0.7928409989300275,1.2370539680264598,27360.062984790093,30.3,0.28068,395.34168,1397.0,31947.1,4876.30774512252,1.27517088245674,69.20836554,9.08308687782522,44.8813034886441,125.238194847046,2722.38990575723,13.015,9.32683739576692,281190067.0,,,366.0,359.0,IDN,389.5,396.0,400.6666666666667,0.7670336738492802,0.7670336738492802,0.7670336738492802,0.7928409989300275,0.7928409989300275,0.7928409989300275,372.5,379.0,383.6666666666667,365.0,371.0,388.3333333333333,38.1650601406923,36.1494878042588,34.8307173410877,10.5170803070068,9.37423038482666,8.79403018951416,8.4247469855579,8.21299200751234,7.99860974921307,27360.062984790093,40606.94975684844,48611.28760335939,1.300417508199613,1.337503669827019,1.3964598479114907,14.773,16.369,15.997,0.3254921667759863,0.0310994771296104,0.2239780965477783,0.105831416504413
IRL,2012,522.0,,,1.494736358553187,156450.15892149138,58.7,1.5455,4873.66344,79.0,7018.56,49335.8408099555,5.70776987075806,76.919992540097,25.5863586944318,68.1972503662109,108.989828987516,2466.77217013119,30.792,31.0609990347078,4599533.0,7.331013695089755,,501.0,523.0,IRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6699912867846749,0.2225328151313077,0.3730377820998907,0.3397739678832623
IRL,2013,515.6666666666666,,,1.490614582442944,156907.6638329187,57.91,1.53562,5141.73776,79.0,7077.4,52537.6108648692,5.23177003860474,78.2477,24.9839328156584,71.6995468139648,105.53780299895,2641.75737096805,26.732,31.0609990347078,4623816.0,7.334094657367238,,502.0,522.3333333333334,IRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6679034728852778,0.2328020282458598,0.3580893830628134,0.318823758538698
IRL,2014,509.3333333333333,,,1.436291955561847,159778.30844666567,56.67,1.47756,5290.95054,79.0,7186.57,57214.5379785709,4.73554992675781,83.4917223351728,24.9189231516136,73.813232421875,105.460883393918,2807.79949074014,23.416,31.0609990347078,4657740.0,7.342086840787587,,503.0,521.6666666666666,IRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6639298788783934,0.2412760374996019,0.3574828650252606,0.2980124644649614
